date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:06	79704/79704	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Mar%202021%2020:46:08%20GMT	https://www.ucol.mx/cms/plantillas.php	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/plantillas.8.delayed	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:07	1140/1140	---M--	200	added ('OK')	image/svg+xml	etag:%22474-530ddcbf092c0%22	http://www.ucol.mx/cms/beta/img/icon/ubicacion.svg	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/img/icon/ubicacion.svg	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:07	23308/23308	---M-Z	200	added ('OK')	application/javascript	etag:%225b0c-5307acda77380-gzip%22	http://www.ucol.mx/cms/beta/dist/js/tether.min.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/dist/js/tether.min.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:07	36868/36868	---M-Z	200	added ('OK')	application/javascript	etag:%229004-5307acda77380-gzip%22	http://www.ucol.mx/cms/beta/dist/js/bootstrap.min.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/dist/js/bootstrap.min.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:07	1773/1773	---M-Z	200	added ('OK')	application/javascript	etag:%226ed-5307acda77380-gzip%22	http://www.ucol.mx/cms/beta/dist/js/bootstrap-hover-dropdown.min.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/dist/js/bootstrap-hover-dropdown.min.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:08	2415/2415	---M-Z	200	added ('OK')	application/javascript	etag:%2296f-530ddda7bb7c0-gzip%22	http://www.ucol.mx/cms/beta/js/jquery.slides.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/js/jquery.slides.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:08	3159/3159	---M-Z	200	added ('OK')	application/javascript	etag:%22c57-5709546ea0818-gzip%22	http://www.ucol.mx/cms/beta/js/carruselV3.2.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/js/carruselV3.2.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:08	5318/5318	---M-Z	200	added ('OK')	application/javascript	etag:%2214c6-530ddda7bb7c0-gzip%22	http://www.ucol.mx/cms/beta/js/jquery.flexisel0815.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/js/jquery.flexisel0815.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:08	8830/8830	---M-Z	200	added ('OK')	application/javascript	etag:%22227e-54a642be27640-gzip%22	http://www.ucol.mx/cms/beta/js/purl.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/js/purl.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:08	11756/11756	---M-Z	200	added ('OK')	application/javascript	etag:%222dec-5b11b303b9dc0-gzip%22	http://www.ucol.mx/cms/beta/js/custom.min.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/js/custom.min.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:09	3733/3733	---M-Z	200	added ('OK')	application/javascript	etag:%22e95-5216404c4b600-gzip%22	http://www.ucol.mx/cms/js/custom.js	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/js/custom.js	(from http://www.ucol.mx/cms/plantilla2.php)
14:46:09	11660/11660	---M-Z	200	added ('OK')	text/css	etag:%222d8c-55f0cba825ee0-gzip%22	http://www.ucol.mx/cms/beta/css/sistemas-universitarios.css	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/css/sistemas-universitarios.css	(from http://www.ucol.mx/cms/headerfooterapp2.css)
14:46:09	13018/13018	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:55%20GMT	http://netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/netdna.bootstrapcdn.com/bootstrap/3.0.0/css/bootstrap-glyphicons.css	(from http://www.ucol.mx/cms/headerfooterapp2.css)
14:46:09	37594/37594	---M-Z	200	added ('OK')	text/css	etag:%2292da-569acbc4e660e-gzip%22	http://www.ucol.mx/cms/beta/css/font-awesome.css	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/css/font-awesome.css	(from http://www.ucol.mx/cms/headerfooterapp2.css)
14:46:10	95563/95563	---M-Z	200	added ('OK')	text/css	etag:%221754b-5307acda77380-gzip%22	http://www.ucol.mx/cms/beta/dist/css/bootstrap.min.css	C:/Users/esteb/OneDrive/Escritorio/SistemaE.R/www.ucol.mx/cms/beta/dist/css/bootstrap.min.css	(from http://www.ucol.mx/cms/headerfooterapp2.css)
